Date,Open,High,Low,Close,Adj Close,Volume
2019-03-26,130.690002,132.050003,130.419998,131.080002,130.908249,1902400
2019-03-27,130.850006,131.160004,128.830002,129.740005,129.570007,2945300
2019-03-28,130.000000,130.220001,129.020004,129.839996,129.839996,1458100
2019-03-29,130.440002,132.169998,130.070007,132.020004,132.020004,3211100
2019-04-01,133.149994,134.500000,131.309998,131.820007,131.820007,2384400
2019-04-02,132.000000,132.020004,131.419998,131.619995,131.619995,2069100
2019-04-03,132.070007,132.070007,130.850006,130.970001,130.970001,2349100
2019-04-04,131.259995,131.630005,130.190002,130.470001,130.470001,2266400
2019-04-05,130.820007,131.770004,130.429993,131.589996,131.589996,2703000
2019-04-08,131.649994,132.039993,130.279999,131.949997,131.949997,2123800
2019-04-09,131.229996,132.529999,131.029999,131.830002,131.830002,2063400
2019-04-10,131.940002,132.449997,131.350006,131.500000,131.500000,1634200
2019-04-11,131.759995,131.889999,130.850006,131.429993,131.429993,1451900
2019-04-12,131.649994,132.520004,131.020004,131.630005,131.630005,2187500
2019-04-15,131.610001,131.929993,129.679993,130.500000,130.500000,2447700
2019-04-16,131.419998,131.699997,127.820000,128.179993,128.179993,3125800
2019-04-17,129.110001,129.789993,124.010002,124.879997,124.879997,5906300
2019-04-18,128.240005,129.710007,125.290001,126.769997,126.769997,5793700
2019-04-22,125.529999,127.570000,125.000000,126.870003,126.870003,2732300
2019-04-23,125.489998,128.660004,124.849998,127.779999,127.779999,3482200
2019-04-24,127.760002,129.880005,127.279999,129.300003,129.300003,2607000
2019-04-25,128.759995,130.770004,128.139999,130.389999,130.389999,2165400
2019-04-26,130.960007,131.410004,129.789993,130.929993,130.929993,1705900
2019-04-29,130.990005,131.940002,130.139999,131.320007,131.320007,2343300
2019-04-30,131.710007,132.750000,130.729996,132.440002,132.440002,2565100
2019-05-01,132.660004,132.679993,131.110001,131.559998,131.559998,1811800
2019-05-02,131.740005,133.559998,131.220001,133.509995,133.509995,1702500
2019-05-03,133.990005,134.669998,133.220001,134.580002,134.580002,2315100
2019-05-06,132.160004,134.059998,132.110001,133.789993,133.789993,2746000
2019-05-07,133.089996,133.089996,129.720001,130.729996,130.729996,2261600
2019-05-08,130.839996,132.970001,130.380005,131.720001,131.720001,2371200
2019-05-09,130.320007,131.429993,129.830002,131.339996,131.339996,2184900
2019-05-10,130.960007,132.270004,128.919998,131.679993,131.679993,1587600
2019-05-13,129.440002,130.279999,128.309998,129.460007,129.460007,2323700
